City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,dunedin,-45.8742,170.5036,284.15,91,100,0.47,NZ,1687481999
315,ancud,-41.8697,-73.8203,283.38,88,53,5.05,CL,1687481999
316,ulsteinvik,62.3432,5.8487,286.99,91,100,6.26,NO,1687482000
317,zemio,5.0314,25.1361,292.82,99,100,1.26,CF,1687482001
318,agua branca,-5.8922,-42.6361,299.07,47,54,3.07,BR,1687482002
319,kyelang,32.5833,77.0333,281.04,59,0,2.82,IN,1687482004
320,onega,63.9061,38.1404,282.31,77,0,3.65,RU,1687482006
321,tequesta,26.9681,-80.1286,303.16,88,100,0.45,US,1687482007
322,las lomitas,-24.7096,-60.593,289.17,97,8,1.29,AR,1687482008
323,az zulfi,26.2995,44.8154,304.0,16,3,7.59,SA,1687482008
324,san jose temascatio,20.6833,-101.2667,306.57,17,41,10.46,MX,1687482009
325,belmonte,-15.8631,-38.8828,292.48,95,44,1.14,BR,1687482010
326,la sarre,48.8002,-79.1996,294.59,66,0,1.76,CA,1687482010
327,sault ste. marie,46.5168,-84.3333,301.31,48,0,1.54,CA,1687481898
328,caleta de carquin,-11.0925,-77.6267,292.98,80,0,6.33,PE,1687482011
329,el granada,37.5027,-122.4694,294.5,76,100,8.23,US,1687482012
330,goundam,16.4145,-3.6708,308.24,29,15,5.04,ML,1687482013
331,ulanhot,46.0833,122.0833,296.06,49,16,2.69,CN,1687482014
332,yantarnyy,54.8717,19.9381,286.07,80,100,4.14,RU,1687482014
333,balnearia,-31.0088,-62.6673,285.7,78,0,3.87,AR,1687482015
334,bonthe,7.5264,-12.505,297.89,88,100,2.73,SL,1687482015
335,lazaro cardenas,17.9583,-102.2,302.29,67,20,4.56,MX,1687482016
336,ornskoldsvik,63.2909,18.7153,286.68,82,20,6.17,SE,1687482016
337,holualoa,19.6228,-155.9522,300.12,75,58,2.24,US,1687482017
338,chikwawa,-16.0335,34.8009,291.03,91,0,1.77,MW,1687482018
339,hammerfest,70.6634,23.6821,291.4,68,0,4.12,NO,1687482018
340,komsomolets,53.7453,62.0708,282.94,74,100,0.66,KZ,1687482020
341,canutama,-6.5339,-64.3831,299.4,72,100,0.68,BR,1687482022
342,pisco,-13.7,-76.2167,292.18,77,0,6.17,PE,1687482023
343,ryotsu-minato,38.0833,138.4333,293.76,94,17,5.86,JP,1687482024
344,haiku-pauwela,20.9219,-156.3051,303.16,68,20,11.32,US,1687482025
345,happy valley-goose bay,53.3168,-60.3315,286.32,88,100,1.54,CA,1687482026
346,prince rupert,54.3161,-130.3201,289.2,75,20,3.6,CA,1687482026
347,huarmey,-10.0681,-78.1522,293.08,82,0,5.58,PE,1687482028
348,galesong,-5.3166,119.3661,300.16,76,6,3.13,ID,1687482028
349,west fargo,46.875,-96.9004,297.15,60,20,5.66,US,1687481760
350,egilsstadir,65.2653,-14.3948,285.1,66,0,5.66,IS,1687482029
351,nova sintra,14.8667,-24.7167,293.81,86,0,10.69,CV,1687482029
352,san juan de los morros,9.9115,-67.3538,296.74,91,100,0.72,VE,1687482030
353,yaren,-0.5472,166.916,301.87,71,100,3.33,NR,1687482030
354,martapura,-3.4167,114.85,297.2,94,20,1.03,ID,1687482031
355,ciudad lazaro cardenas,17.9583,-102.2,302.29,67,20,4.56,MX,1687482031
356,isla mujeres,21.2311,-86.731,299.91,75,100,5.0,MX,1687482004
357,al mijlad,11.0333,27.7333,300.93,66,100,7.66,SD,1687482032
358,filiatra,37.15,21.5833,297.42,73,0,1.56,GR,1687482033
359,redencao,-4.2258,-38.7306,295.74,92,0,1.12,BR,1687482033
360,mermoz boabab,14.7065,-17.4758,301.03,78,20,3.09,SN,1687482034
361,prairieville,30.303,-90.9721,303.83,75,0,0.0,US,1687482034
362,zhukovo,55.0318,36.744,289.03,95,100,0.74,RU,1687482035
